"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"24","137.40679025142953","41.682666320816594","0.0390625","0.07275390625","0.00537109375","2584","0.00047139223207653356","36","0.00047139223207653356","0","0.00047139223207653356","0.00047139223207653356","23:0.0053577179541521025;25:0.004129007555408487","23:68;25:68","23:0.0043828160136346606;25:0.004799140238446603","0.0390625","Yes"
"25","146.17494682515974","65.03217736118576","0.025634765625","0.05029296875","0.0009765625","2584","0.0004241750891274861","36","0.0004241750891274861","0","0.0004241750891274861","0.0004241750891274861","24:0.004129007555408487;26:0.015144968700102457;37:0.004067165677494572","24:68;26:68;37:68","24:0.004799140238446603;26:0.018495943346621413;37:0.003814279694266537","0.025634765625","Yes"
"26","7.184360898437684","7.990634116824743","0.05859375","0.09716796875","0.02001953125","2584","0.002282219423085035","36","0.002282219423085035","0","0.002282219423085035","0.002282219423085035","25:0.015144968700102457;27:0.01384198727880151","25:68;27:68","25:0.018495943346621413;27:0.01827464694280151","0.05859375","Yes"
"27","158.61040932405334","195.55313849097155","0.004150390625","0.0078125","0.00048828125","2584","0.00023016194249606632","36","0.00023016194249606632","0","0.00023016194249606632","0.00023016194249606632","26:0.01384198727880151;28:0.002418546275149619;17:0.001807017532500732","26:68;28:68;17:68","26:0.01827464694280151;28:0.0022506012272219267;17:0.0019581238533963596","0.004150390625","Yes"
"28","250.4020792073012","230.89439238685046","0.017333984375","0.02734375","0.00732421875","2584","0.0005052950513922784","36","0.0005052950513922784","0","0.0005052950513922784","0.0005052950513922784","27:0.002418546275149619;29:0.003582330045373283","27:68;29:68","27:0.0022506012272219267;29:0.0038564616810580488","0.017333984375","Yes"
"29","60.117745089871065","90.13730319517391","0.199462890625","0.1318359375","0.26708984375","2584","0.0002879777002667293","36","0.0002879777002667293","0","0.0002879777002667293","0.0002879777002667293","38:0.0032566241605495594;28:0.003582330045373283;30:0.002580368250780868","38:68;28:68;30:68","38:0.002589138225368076;28:0.0038564616810580488;30:0.0017872403664024317","0.199462890625","Yes"
"30","296.0907788887882","133.97207476693262","0.047119140625","0.05712890625","0.037109375","2584","0.00037864125538268715","36","0.00037864125538268715","0","0.00037864125538268715","0.00037864125538268715","31:0.002612276412178288;29:0.002580368250780868","31:68;29:68","31:0.001734221449259249;29:0.0017872403664024317","0.047119140625","Yes"
"31","159.60027440951737","73.81447336611309","0.111572265625","0.06884765625","0.154296875","2584","0.0003773696827250927","36","0.0003773696827250927","0","0.0003773696827250927","0.0003773696827250927","30:0.002612276412178288;32:0.0026705136823510778;18:0.002311864334323649","30:68;32:68;18:68","30:0.001734221449259249;32:0.001628145170628592;18:0.0019451574606111355","0.111572265625","Yes"
"32","254.339682664358","33.350701115498474","0.01416015625","0.02685546875","0.00146484375","2584","0.0002890955878258442","36","0.0002890955878258442","0","0.0002890955878258442","0.0002890955878258442","31:0.0026705136823510778;33:0.0031948469632852305","31:68;33:68","31:0.001628145170628592;33:0.0017804663685313804","0.01416015625","Yes"
"33","135.88618432348719","132.84086398531068","0.01171875","0.02294921875","0.00048828125","2584","0.00028469133750737145","36","0.00028469133750737145","0","0.00028469133750737145","0.00028469133750737145","39:0.0016904146732451553;32:0.0031948469632852305;34:0.0020379652455427","39:68;32:68;34:68","39:0.12998080652269992;32:0.0017804663685313804;34:0.0021005345445846146","0.01171875","Yes"
"34","174.03781759138866","150.56566223988585","0.00732421875","0.0126953125","0.001953125","2584","0.0002876083937552165","36","0.0002876083937552165","0","0.0002876083937552165","0.0002876083937552165","33:0.0020379652455427;35:0.0014174280339120382","33:68;35:68","33:0.0021005345445846146;35:0.0012161360194301585","0.00732421875","Yes"
