"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"10","221.723546994736","15.637497145570254","0.01220703125","0.02001953125","0.010498046875","2280","0.0002396175567167217","32","0.0002396175567167217","0","0.0002396175567167217","0.0002396175567167217","9:0.005326410816562488;11:0.001244251087133108","9:68;11:68","9:0.0034982857203140483;11:0.0015646073129624016","0.01220703125","0.00927734375","Yes"
"11","451.9631326662032","71.68468090759538","0.0311279296875","0.020751953125","0.04150390625","2280","0.0001836622380129042","32","0.0001836622380129042","0","0.0001836622380129042","0.0001836622380129042","18:0.001454862888270736;10:0.001244251087133108;12:0.0016944591573669343","18:68;10:68;12:68","18:0.002966670813652983;10:0.0015646073129624016;12:0.0013631003713925338","0.0311279296875","0.019775390625","Yes"
"12","293.10938591498456","264.11073224017747","0.0235595703125","0.02978515625","0.017333984375","2280","0.0001721404676030065","32","0.0001721404676030065","0","0.0001721404676030065","0.0001721404676030065","13:0.002630869921528056;11:0.0016944591573669343","13:68;11:68","13:0.0015076214382548914;11:0.0013631003713925338","0.0235595703125","0.015380859375","Yes"
"13","93.82361129730603","127.48785065935876","0.0096435546875","0.013916015625","0.00537109375","2280","0.00028677819277692605","32","0.00028677819277692605","0","0.00028677819277692605","0.00028677819277692605","12:0.002630869921528056;14:0.0010468352896763344","12:68;14:68","12:0.0015076214382548914;14:0.0026944206547885874","0.0096435546875","0.00634765625","Yes"
"14","356.89004391909856","497.3151578444454","0.0172119140625","0.0205078125","0.013916015625","2280","0.00018132132380901063","32","0.00018132132380901063","0","0.00018132132380901063","0.00018132132380901063","15:0.002515863951366687;13:0.0010468352896763344","15:68;13:68","15:0.00180561361095391;13:0.0026944206547885874","0.0172119140625","0.007568359375","Yes"
"15","236.28231333623165","181.76243566381305","0.0126953125","0.0185546875","0.0068359375","2280","0.00011008949004364006","32","0.00011008949004364006","0","0.00011008949004364006","0.00011008949004364006","14:0.002515863951366687;19:0.001429196531164162","14:68;19:68","14:0.00180561361095391;19:0.005664262359495936","0.0126953125","0.006591796875","Yes"
"16","382.39261217615694","141.6876936889258","0.03515625","0.036865234375","0.033447265625","2280","0.0001003205596635005","32","0.0001003205596635005","0","0.0001003205596635005","0.0001003205596635005","23:0.0010590996412798703;3:0.001207560462870877","23:68;3:68","23:0.0703571552060838;3:0.01006360743594592","0.03515625","0.156494140625","Yes"
"17","297.89219431238826","130.98047411593703","0.02392578125","0.020263671875","0.027587890625","2280","0.00020821929479496542","32","0.00020821929479496542","0","0.00020821929479496542","0.00020821929479496542","7:0.006440430943600861;27:0.001520740853353214","7:68;27:68","7:0.022094640281592304;27:0.0019336050543697636","0.02392578125","0.021728515625","Yes"
"18","146.8946052713911","72.22274640432057","0.0167236328125","0.030517578125","0.0029296875","2280","0.00025275524602941853","32","0.00025275524602941853","0","0.00025275524602941853","0.00025275524602941853","11:0.001454862888270736;31:0.0023525210597224733","11:68;31:68","11:0.002966670813652983;31:0.003639330392013085","0.0167236328125","0.003662109375","Yes"
"19","274.81692833652914","220.04396367995213","0.0233154296875","0.022705078125","0.02392578125","2280","0.0003324055749249085","32","0.0003324055749249085","0","0.0003324055749249085","0.0003324055749249085","35:0.002027000589434308;15:0.001429196531164162","35:68;15:68","35:0.001638300343745347;15:0.005664262359495936","0.0233154296875","0.01513671875","Yes"
"20","315.7152116772081","27.656160432893916","0.015625","0.0234375","0.0078125","2280","0.0004025861148394332","32","0.0004025861148394332","0","0.0004025861148394332","0.0004025861148394332","21:0.002863031742811717","21:68","21:0.004416509239131922","0.015625","0.00732421875","Yes"
"21","458.70568246847466","435.9015784500497","0.0238037109375","0.021484375","0.026123046875","2280","0.00018945214401522764","32","0.00018945214401522764","0","0.00018945214401522764","0.00018945214401522764","36:0.00141449579565317;20:0.002863031742811717;22:0.0010210491967526658","36:68;20:68;22:68","36:0.00374421065156319;20:0.004416509239131922;22:0.0019679719983620725","0.0238037109375","0.0341796875","Yes"
"22","105.10821654668275","76.58405975463134","0.038818359375","0.029296875","0.04833984375","2280","0.00024307360433219473","32","0.00024307360433219473","0","0.00024307360433219473","0.00024307360433219473","23:0.0014118905525223602;21:0.0010210491967526658","23:68;21:68","23:0.0017775607023269024;21:0.0019679719983620725","0.038818359375","0.035400390625","Yes"
"23","241.88880997324173","55.20176056122101","0.04443359375","0.030029296875","0.058837890625","2280","0.00016717519982764508","32","0.00016717519982764508","0","0.00016717519982764508","0.00016717519982764508","22:0.0014118905525223602;24:0.001393994393205561;16:0.0010590996412798703","22:68;24:68;16:68","22:0.0017775607023269024;24:0.0029824642352048736;16:0.0703571552060838","0.04443359375","0.034912109375","Yes"
"24","267.29483384278365","69.23030516174417","0.0357666015625","0.03564453125","0.035888671875","2280","0.00028515394970784737","32","0.00028515394970784737","0","0.00028515394970784737","0.00028515394970784737","23:0.001393994393205561;25:0.006696216615217965","23:68;25:68","23:0.0029824642352048736;25:0.003632014419717","0.0357666015625","0.0341796875","Yes"
"25","385.826143822009","22.645828746143838","0.01123046875","0.010009765625","0.012451171875","2280","0.00018511944356301507","32","0.00018511944356301507","0","0.00018511944356301507","0.00018511944356301507","24:0.006696216615217965;26:0.0016477850337042743;37:0.0021800705223296857","24:68;26:68;37:68","24:0.003632014419717;26:0.002047815852151774;37:0.01847936367021913","0.01123046875","0.009765625","Yes"
"26","322.3129716218099","186.18138835320667","0.019775390625","0.016845703125","0.022705078125","2280","0.0001826662074169937","32","0.0001826662074169937","0","0.0001826662074169937","0.0001826662074169937","25:0.0016477850337042743;27:0.0017641785170733892","25:68;27:68","25:0.002047815852151774;27:0.0022260809244364355","0.019775390625","0.0234375","Yes"
"27","328.36030122356567","67.91201288015075","0.0277099609375","0.01806640625","0.032470703125","2280","0.00012417883712087147","32","0.00012417883712087147","0","0.00012417883712087147","0.00012417883712087147","26:0.0017641785170733892;28:0.0013985625952571135;17:0.001520740853353214","26:68;28:68;17:68","26:0.0022260809244364355;28:0.08912873352727085;17:0.0019336050543697636","0.0277099609375","0.0341796875","Yes"
"28","232.73664169516795","205.08223599726836","0.0146484375","0.0234375","0.005859375","2280","0.00019881629297636302","32","0.00019881629297636302","0","0.00019881629297636302","0.00019881629297636302","27:0.0013985625952571135;29:0.003705782647455219","27:68;29:68","27:0.08912873352727085;29:0.0030717950006954875","0.0146484375","0.008056640625","Yes"
"29","154.45700436210734","88.43244156567978","0.014404296875","0.0185546875","0.01025390625","2280","0.00013819884944493653","32","0.00013819884944493653","0","0.00013819884944493653","0.00013819884944493653","38:0.010832649959422402;28:0.003705782647455219;30:0.0012619329019211978","38:68;28:68;30:80","38:0.004436487783247289;28:0.0030717950006954875;30:0.001858586227730108","0.014404296875","0.0087890625","Yes"
"30","289.9628731313994","59.2953833124775","0.0286865234375","0.02392578125","0.033447265625","2280","0.000226486414737777","32","0.000226486414737777","0","0.000226486414737777","0.000226486414737777","31:0.0013631309286371018;29:0.0012619329019211978","31:68;29:80","31:0.0056040046076490935;29:0.001858586227730108","0.0286865234375","0.0166015625","Yes"
"31","242.09871955513142","273.0306200728128","0.01953125","0.03173828125","0.00732421875","2280","0.00017438914673135406","32","0.00017438914673135406","0","0.00017438914673135406","0.00017438914673135406","30:0.0013631309286371018;32:0.001606774966840946;18:0.0023525210597224733","30:68;32:68;18:68","30:0.0056040046076490935;32:0.002627651031353123;18:0.003639330392013085","0.01953125","0.23779296875","Yes"
"32","341.3528278253732","394.15706802161304","0.01611328125","0.021240234375","0.010986328125","2280","0.0001938166783639965","32","0.0001938166783639965","0","0.0001938166783639965","0.0001938166783639965","31:0.001606774966840946;33:0.004889185082618819","31:68;33:68","31:0.002627651031353123;33:0.004784190680661493","0.01611328125","0.0087890625","Yes"
