"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"10","289.6451184102251","247.14027886546378","0.0048828125","0.005859375","0.00390625","2200","0.0002648797522445876","32","0.0002648797522445876","0","0.0002648797522445876","0.0002648797522445876","9:0.006754416123392143;11:0.0037266942014846927","9:68;11:68","9:0.008947468672592412;11:0.003226120749510092","0.0048828125","0.001708984375","Yes"
"11","231.0508620224648","235.51184219024117","0.002197265625","0.00439453125","0","2200","0.000264882151123886","32","0.000264882151123886","0","0.000264882151123886","0.000264882151123886","18:0.005419618148192529;10:0.0037266942014846927;12:0.007927052868899498","18:68;10:68;12:68","18:0.0023873911356628585;10:0.003226120749510092;12:0.004104465664581419","0.002197265625","0.004150390625","Yes"
"12","260.1872503212455","88.4248977249543","0.00244140625","0.00341796875","0.00146484375","2200","0.0001535772697540104","32","0.0001535772697540104","0","0.0001535772697540104","0.0001535772697540104","13:0.0009758273013058538;11:0.007927052868899498","13:68;11:68","13:0.0014001945208147182;11:0.004104465664581419","0.00244140625","0.000732421875","Yes"
"13","328.0364867182696","529.329482375577","0.007568359375","0.01416015625","0.0009765625","2200","0.000273519997570956","32","0.000273519997570956","0","0.000273519997570956","0.000273519997570956","12:0.0009758273013058538;14:0.0011683293772909997","12:68;14:68","12:0.0014001945208147182;14:0.0013073442950212455","0.007568359375","0.007080078125","Yes"
"14","276.70835179220956","376.6547543334557","0.003173828125","0.005859375","0.00048828125","2200","0.00014479251711849817","32","0.00014479251711849817","0","0.00014479251711849817","0.00014479251711849817","15:0.0008669900619728832;13:0.0011683293772909997","15:68;13:68","15:0.0008301994034574378;13:0.0013073442950212455","0.003173828125","0.00146484375","Yes"
"15","279.4258411927168","509.4795798432082","0.0029296875","0.00439453125","0.00146484375","2200","0.00008368277431721636","32","0.00008368277431721636","0","0.00008368277431721636","0.00008368277431721636","14:0.0008669900619728832;19:0.0006790050316209384","14:68;19:68","14:0.0008301994034574378;19:0.0008038265983661697","0.0029296875","0.006103515625","Yes"
"16","272.88701129849085","451.9893218108543","0.0048828125","0.00634765625","0.00341796875","2200","0.00009933424100145928","32","0.00009933424100145928","0","0.00009933424100145928","0.00009933424100145928","23:0.0008323976971607583;3:0.0009806482440417041","23:68;3:68","23:0.001152492071648581;3:0.0010648595148856077","0.0048828125","0.008544921875","Yes"
"17","118.10786559661143","147.28659806666303","0.008056640625","0.01220703125","0.00390625","2200","0.0001788225008153326","32","0.0001788225008153326","0","0.0001788225008153326","0.0001788225008153326","7:0.0010673292432838988;27:0.0013024247057320526","7:68;27:68","7:0.001141553550950275;27:0.0014076451696485304","0.008056640625","0.004150390625","Yes"
"18","247.5603074383857","276.21441144309125","0.003173828125","0.00537109375","0.0009765625","2200","0.00034853961110886694","32","0.00034853961110886694","0","0.00034853961110886694","0.00034853961110886694","11:0.005419618148192529;31:0.001145397933539627","11:68;31:68","11:0.0023873911356628585;31:0.003283795510396481","0.003173828125","0.002197265625","Yes"
"19","229.19047442589027","321.2349555385795","0.003662109375","0.00537109375","0.001953125","2200","0.00010440391072411653","32","0.00010440391072411653","0","0.00010440391072411653","0.00010440391072411653","35:0.000791914395747273;15:0.0006790050316209384","35:68;15:68","35:0.0008560961468496442;15:0.0008038265983661697","0.003662109375","0.0029296875","Yes"
