"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"18","228.7980828835894","247.6831654826344","0.009765625","0.0126953125","0.0068359375","2584","0.0003459969758078841","32","0.0003459969758078841","0","0.0003459969758078841","0.0003459969758078841","11:0.0014920725896724885;31:0.04747230160416682","11:88;31:88","11:0.002521084479673086;31:0.17451690520336777","0.009765625","0.006591796875","Yes"
"19","251.69654414684322","356.3849113076436","0.0267333984375","0.039306640625","0.01416015625","2584","0.00012232768933629777","32","0.00012232768933629777","0","0.00012232768933629777","0.00012232768933629777","35:0.0013822226596410525;15:0.0013384207791347913","35:88;15:88","35:0.001267011459865297;15:0.001155374080311633","0.0267333984375","0.02099609375","Yes"
"20","266.2321170965824","418.1315771332944","0.0130615234375","0.014404296875","0.01171875","2584","0.00034273056488058384","32","0.00034273056488058384","0","0.00034273056488058384","0.00034273056488058384","21:0.0017768300619888378","21:88","21:0.0018033474327036614","0.0130615234375","0.0068359375","Yes"
"21","413.41182637853075","363.3747020252137","0.0093994140625","0.01123046875","0.007568359375","2584","0.00008383565259698748","32","0.00008383565259698748","0","0.00008383565259698748","0.00008383565259698748","36:0.0085711149236804;20:0.0017768300619888378;22:0.0014767485218812881","36:88;20:88;22:88","36:0.008486456946507903;20:0.0018033474327036614;22:0.0012438479215403642","0.0093994140625","0.01025390625","Yes"
"22","285.1522339854105","346.2153156540637","0.013916015625","0.01123046875","0.0166015625","2584","0.00018210940310986687","32","0.00018210940310986687","0","0.00018210940310986687","0.00018210940310986687","23:0.010934017720619194;21:0.0014767485218812881","23:88;21:88","21:0.0012438479215403642","0.013916015625","0.013671875","Yes"
"23","374.1290009323313","241.81935588742252","0.0325927734375","0.05419921875","0.010986328125","2584","","32","","0","","","22:0.010934017720619194;24:0.0050215364298308585;16:0.004702127452211463","22:88;24:88;16:88","","0.0325927734375","0.0205078125","Yes"
"24","244.10015553806377","335.1915798012267","0.011962890625","0.016845703125","0.007080078125","2584","0.00047701319838285846","32","0.00047701319838285846","0","0.00047701319838285846","0.00047701319838285846","23:0.0050215364298308585;25:0.0021918056587833523","23:88;25:88","25:0.0017496402964457813","0.011962890625","0.00537109375","Yes"
"25","334.9862006675452","103.23256852969396","0.0091552734375","0.010498046875","0.0078125","2584","0.00020052475623181683","32","0.00020052475623181683","0","0.00020052475623181683","0.00020052475623181683","24:0.0021918056587833523;26:0.05830796640617947;37:0.002613523495094222","24:88;26:88;37:88","24:0.0017496402964457813;26:0.036027581485391647;37:0.0019220915604376831","0.0091552734375","0.007568359375","Yes"
"26","271.92167127548095","337.7239092637257","0.0086669921875","0.00927734375","0.008056640625","2584","0.0007036234093065854","32","0.0007036234093065854","0","0.0007036234093065854","0.0007036234093065854","25:0.05830796640617947;27:0.0010408570671333328","25:88;27:88","25:0.036027581485391647;27:0.001139856775990239","0.0086669921875","0.00537109375","Yes"
"27","378.9289528117274","214.56878147350858","0.0120849609375","0.017578125","0.01171875","2584","0.0001599179895852994","32","0.0001599179895852994","0","0.0001599179895852994","0.0001599179895852994","26:0.0010408570671333328;28:0.0017167460710443283;17:0.0014622616029461577","26:88;28:88;17:88","26:0.001139856775990239;28:0.0015697618772655964;17:0.0016395397266096012","0.0120849609375","0.0087890625","Yes"
"28","118.57670420427942","123.19639102943776","0.01123046875","0.01806640625","0.00439453125","2584","0.0003370647207128435","32","0.0003370647207128435","0","0.0003370647207128435","0.0003370647207128435","27:0.0017167460710443283;29:0.0022464901631704948","27:88;29:88","27:0.0015697618772655964;29:0.0019784568504706557","0.01123046875","0.00390625","Yes"
"29","358.1553650419897","272.8487677551983","0.0072021484375","0.0078125","0.006591796875","2584","0.00020148942312500387","32","0.00020148942312500387","0","0.00020148942312500387","0.00020148942312500387","38:0.0028417320769393295;28:0.0022464901631704948;30:0.001406838438289898","38:88;28:88;30:88","38:0.0008992627897088379;28:0.0019784568504706557;30:0.0015874175448957473","0.0072021484375","0.006103515625","Yes"
"30","243.29288374288316","265.07306973136946","0.008056640625","0.008544921875","0.007568359375","2584","0.0002333923006553358","32","0.0002333923006553358","0","0.0002333923006553358","0.0002333923006553358","31:0.14176481295848978;29:0.001406838438289898","31:88;29:88","29:0.0015874175448957473","0.008056640625","0.005126953125","Yes"
"31","19.44941976577958","33.526089749447486","0.022705078125","0.037109375","0.00830078125","2584","0.0009434937599076503","32","0.0009434937599076503","0","0.0009434937599076503","0.0009434937599076503","30:0.14176481295848978;18:0.04747230160416682","30:88;32:88;18:88","18:0.17451690520336777","0.022705078125","0.010009765625","Yes"
"32","314.1030440302457","357.93532719221486","0.080078125","0.0859375","0.07421875","2584","0.00026680551089239784","32","0.00026680551089239784","0","0.00026680551089239784","0.00026680551089239784","33:0.004491479894741107","31:88;33:88","33:0.0038754650112090283","0.080078125","0.0849609375","Yes"
"33","323.5168257629255","381.15496367771317","0.0308837890625","0.031005859375","0.03076171875","2584","0.00016620561649245634","32","0.00016620561649245634","0","0.00016620561649245634","0.00016620561649245634","39:0.001570015105461925;32:0.004491479894741107;34:0.0022304465065466905","39:88;32:88;34:88","39:0.0013303974364836935;32:0.0038754650112090283;34:0.005002430218532777","0.0308837890625","0.016845703125","Yes"
"34","263.16525154818305","298.37533160835557","0.0086669921875","0.011474609375","0.005859375","2584","0.0004453455706172801","32","0.0004453455706172801","0","0.0004453455706172801","0.0004453455706172801","33:0.0022304465065466905;35:0.004035669916326201","33:88;35:88","33:0.005002430218532777;35:0.0012566400557975643","0.0086669921875","0.004638671875","Yes"
"35","362.49806405837984","431.16309401924855","0.030517578125","0.024169921875","0.036865234375","2584","0.00027240465093608397","32","0.00027240465093608397","0","0.00027240465093608397","0.00027240465093608397","19:0.0013822226596410525;34:0.004035669916326201","19:88;34:88","19:0.001267011459865297;34:0.0012566400557975643","0.030517578125","0.021484375","Yes"
"36","6.818455178590225","11.840031407456769","0.0523681640625","0.078857421875","0.02587890625","2584","0.001665128352757609","32","0.001665128352757609","0","0.001665128352757609","0.001665128352757609","41:0.008852601104584995;21:0.0085711149236804","41:88;21:88","41:0.00906408597650396;21:0.008486456946507903","0.0523681640625","0.03076171875","Yes"
"37","177.6544932586604","269.35927076443306","0.006103515625","0.0078125","0.00439453125","2584","0.00010090634519140149","32","0.00010090634519140149","0","0.00010090634519140149","0.00010090634519140149","45:0.004876101365434982;25:0.002613523495094222","45:88;25:88","45:0.0057666904696967725;25:0.0019220915604376831","0.006103515625","0.005126953125","Yes"
"38","224.08708422611667","305.8195980526583","0.0093994140625","0.01220703125","0.006591796875","2584","0.00015881199927086763","32","0.00015881199927086763","0","0.00015881199927086763","0.00015881199927086763","29:0.0028417320769393295;49:0.00233459060906524","29:88;49:88","29:0.0008992627897088379;49:0.0012939513413708081","0.0093994140625","0.007080078125","Yes"
"39","197.43360641273074","267.60701191102163","0.0093994140625","0.013427734375","0.00537109375","2584","0.00015479520197078225","32","0.00015479520197078225","0","0.00015479520197078225","0.00015479520197078225","53:0.0014073960695450694;33:0.001570015105461925","53:88;33:88","53:0.0017968383700521229;33:0.0013303974364836935","0.0093994140625","0.005126953125","Yes"
"40","235.73103008398957","312.56348266181686","0.013427734375","0.01806640625","0.0087890625","2584","0.00016156334236586332","32","0.00016156334236586332","0","0.00016156334236586332","0.00016156334236586332","41:0.001956701071785416","41:88","","0.013427734375","0.007080078125","Yes"
"41","312.24908715762683","435.9229574199494","0.0140380859375","0.0185546875","0.009521484375","2584","0.00016724837274662824","32","0.00016724837274662824","0","0.00016724837274662824","0.00016724837274662824","40:0.001956701071785416;42:0.0009721642971531885;36:0.008852601104584995","40:88;42:88;36:88","42:0.001112436895869956;36:0.00906408597650396","0.0140380859375","0.01025390625","Yes"
"42","330.259351056074","326.1203759364386","0.01220703125","0.0146484375","0.009765625","2584","0.00019599452232684351","32","0.00019599452232684351","0","0.00019599452232684351","0.00019599452232684351","41:0.0009721642971531885;43:0.0013205028912286476","41:88;43:88","41:0.001112436895869956;43:0.002536880468837266","0.01220703125","0.011474609375","Yes"
"43","323.5487904936153","435.48381691942325","0.0130615234375","0.01220703125","0.013916015625","2584","0.0001781352918523629","32","0.0001781352918523629","0","0.0001781352918523629","0.0001781352918523629","42:0.0013205028912286476;56:0.006925564937819428;44:0.0013824095289380056","42:88;56:88;44:88","42:0.002536880468837266;56:0.012522437595534341;44:0.0010041697755034384","0.0130615234375","0.007568359375","Yes"
"44","303.6856689679522","357.28081289462716","0.0081787109375","0.02001953125","0.00439453125","2584","0.00020752575154187917","32","0.00020752575154187917","0","0.00020752575154187917","0.00020752575154187917","45:0.005102424367785463;43:0.0013824095289380056","45:88;43:88","45:0.005886576258597065;43:0.0010041697755034384","0.0081787109375","0.005126953125","Yes"
