"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"11","156.5540538931456","221.34060233558958","0.023681640625","0.00927734375","0.0380859375","2400","0.00038861752305637334","32","0.00038861752305637334","0","0.00038861752305637334","0.00038861752305637334","1:0.15587289491865117;10:0.019732056487347605;12:0.016043212752322678;21:0.021704309258741367","1:128;10:128;12:128;21:128","0.023681640625","Yes"
"12","438.85328315975835","405.1222318782328","0.026123046875","0.02685546875","0.025390625","2400","0.00013580423018258388","32","0.00013580423018258388","0","0.00013580423018258388","0.00013580423018258388","13:0.0012973433449136873;22:0.001422618182458646;2:0.0016909678781850124;11:0.016043212752322678","13:148;22:208;2:148;11:128","0.026123046875","Yes"
"13","233.81065811299067","218.22626752918373","0.015625","0.009765625","0.021484375","2400","0.00019145077492864859","32","0.00019145077492864859","0","0.00019145077492864859","0.00019145077492864859","3:0.0015276731002885346;12:0.0012973433449136873;14:0.0030452074803686835;23:0.0018376470581779325","3:128;12:148;14:268;23:228","0.015625","Yes"
"14","226.28523660532133","270.9410118396554","0.010009765625","0.009765625","0.01025390625","2400","0.00032807567289585844","32","0.00032807567289585844","0","0.00032807567289585844","0.00032807567289585844","15:0.0018225088840307102;24:0.0028854343819970374;13:0.0030452074803686835;4:0.002565256817867456","15:128;24:228;13:268;4:228","0.010009765625","Yes"
"15","217.66485825490378","250.59918012875343","0.0068359375","0.00927734375","0.00439453125","2400","0.00023593844437451954","32","0.00023593844437451954","0","0.00023593844437451954","0.00023593844437451954","14:0.0018225088840307102;16:0.001977951263973904;25:0.0036320301776989194;5:0.0013828724303182327","14:128;16:148;25:288;5:128","0.0068359375","Yes"
"16","370.17867870866814","399.9287065404592","0.0087890625","0.009765625","0.0078125","2400","0.00015252736253126115","32","0.00015252736253126115","0","0.00015252736253126115","0.00015252736253126115","15:0.001977951263973904;17:0.002528488328843337;26:0.005519521546080541;6:0.054045762430381256","15:148;17:128;26:248;6:488","0.0087890625","Yes"
"17","469.6978672561182","363.13695053799387","0.01171875","0.01953125","0.00390625","2400","0.00013250153793522733","32","0.00013250153793522733","0","0.00013250153793522733","0.00013250153793522733","7:0.003358426450658286;16:0.002528488328843337;18:0.0015100020965200245;27:0.0022061917484873517","7:128;16:128;18:128;27:128","0.01171875","Yes"
"18","481.0743540129109","345.5856012583182","0.044189453125","0.0791015625","0.00927734375","2400","0.0009398568811936458","32","0.0009398568811936458","0","0.0009398568811936458","0.0009398568811936458","8:0.0013988476861018784;19:0.001296581450519363;28:0.0018440513851029627;17:0.0015100020965200245","8:128;19:128;28:88;17:128","0.044189453125","Yes"
"19","359.02860746491075","440.78703210009303","0.014892578125","0.01416015625","0.015625","2400","0.00026808551971959347","32","0.00026808551971959347","0","0.00026808551971959347","0.00026808551971959347","18:0.001296581450519363;9:0.0030862696670256595;29:0.001364176275285428","18:128;9:128;29:88","0.014892578125","Yes"
"20","302.4482995724287","349.0153993195429","0.0146484375","0.017578125","0.01171875","2400","0.000185272975764987","32","0.000185272975764987","0","0.000185272975764987","0.000185272975764987","10:0.0011370225946189805;21:0.0008412133498633401;30:0.0023302106028906533","10:128;21:128;30:128","0.0146484375","Yes"
"21","313.4427494503057","385.15079737051576","0.017578125","0.025390625","0.009765625","2400","0.0003889402574329667","32","0.0003889402574329667","0","0.0003889402574329667","0.0003889402574329667","20:0.0008412133498633401;22:0.000933815174860797;11:0.021704309258741367","20:128;22:128;31:180;11:128","0.017578125","Yes"
"22","428.8147287710595","374.5147612500566","0.0322265625","0.0595703125","0.0048828125","2400","0.00010606194233242402","32","0.00010606194233242402","0","0.00010606194233242402","0.00010606194233242402","23:0.001848404441171153;12:0.001422618182458646;32:0.0021315600764754694;21:0.000933815174860797","23:148;12:208;32:168;21:128","0.0322265625","Yes"
"23","363.206736864922","276.01306523193216","0.051025390625","0.08984375","0.01220703125","2400","0.00015946803063985403","32","0.00015946803063985403","0","0.00015946803063985403","0.00015946803063985403","22:0.001848404441171153;13:0.0018376470581779325;24:0.0020283122486582095;33:0.0015577757802022196","22:148;13:228;24:228;33:148","0.051025390625","Yes"
"24","275.932702687716","205.5509315979488","0.0234375","0.0390625","0.0078125","2400","0.00022915138984586206","32","0.00022915138984586206","0","0.00022915138984586206","0.00022915138984586206","14:0.0028854343819970374;23:0.0020283122486582095;25:0.002520866940447536;34:0.001342379850353903","14:228;23:228;25:148;34:128","0.0234375","Yes"
"25","336.93937181592815","296.42069804817254","0.019287109375","0.01220703125","0.0263671875","2400","0.00017900079592256173","32","0.00017900079592256173","0","0.00017900079592256173","0.00017900079592256173","15:0.0036320301776989194;24:0.002520866940447536;26:0.010219978795689949;35:0.004827620035953412","15:288;24:148;26:128;35:208","0.019287109375","Yes"
"26","490.43726506366625","301.2416585400138","0.020263671875","0.021484375","0.01904296875","2400","0.0001637724818623572","32","0.0001637724818623572","0","0.0001637724818623572","0.0001637724818623572","16:0.005519521546080541;25:0.010219978795689949;27:0.011818521310368757;36:0.0032101006313955127","16:248;25:128;27:88;36:268","0.020263671875","Yes"
"27","382.6186684295803","289.20150549283477","0.04443359375","0.01025390625","0.07861328125","2400","0.00014786610430224755","32","0.00014786610430224755","0","0.00014786610430224755","0.00014786610430224755","26:0.011818521310368757;28:0.0021873099475557267;17:0.0022061917484873517;37:0.0020320196578493543","26:88;28:108;17:128;37:108","0.04443359375","Yes"
"28","208.20622119266832","154.38288399803267","0.11474609375","0.2275390625","0.001953125","2400","0.0005791199075285245","32","0.0005791199075285245","0","0.0005791199075285245","0.0005791199075285245","18:0.0018440513851029627;27:0.0021873099475557267;29:0.0015509952085285827;38:0.003566308024949394","18:88;27:108;29:68;38:228","0.11474609375","Yes"
"29","337.6918893882434","223.90178591291047","0.03369140625","0.021484375","0.0458984375","2400","0.00019884785901138068","32","0.00019884785901138068","0","0.00019884785901138068","0.00019884785901138068","19:0.001364176275285428;28:0.0015509952085285827;39:0.0019490318356600866","19:88;28:68;39:128","0.03369140625","Yes"
"30","276.6650337468946","264.1145941622461","0.017333984375","0.025390625","0.00927734375","2400","0.00016424881055934827","32","0.00016424881055934827","0","0.00016424881055934827","0.00016424881055934827","20:0.0023302106028906533;31:0.0028015918310779764;40:0.0020252410816537503","20:128;31:188;40:128","0.017333984375","Yes"
"31","395.94670830951435","39.8292853220817","0.03857421875","0.05712890625","0.02001953125","2400","0.0001959482732072983","32","0.0001959482732072983","0","0.0001959482732072983","0.0001959482732072983","30:0.0028015918310779764;32:0.0022580814596344922;41:0.0026200261665262903","30:188;32:188;21:180;41:128","0.03857421875","Yes"
"32","308.2948981435946","247.92305727509114","0.025146484375","0.044921875","0.00537109375","2400","0.0003329298760407801","32","0.0003329298760407801","0","0.0003329298760407801","0.0003329298760407801","22:0.0021315600764754694;31:0.0022580814596344922;33:0.0026649250118385426;42:0.003556759215345623","22:168;31:188;33:208;42:188","0.025146484375","Yes"
"33","314.6920640689502","321.46550448233603","0.06103515625","0.1083984375","0.013671875","2400","0.0004481477098238064","32","0.0004481477098238064","0","0.0004481477098238064","0.0004481477098238064","23:0.0015577757802022196;32:0.0026649250118385426;34:0.0032839425491354157;43:0.0022695750354024546","23:148;32:208;34:128;43:248","0.06103515625","Yes"
"34","323.458896946881","233.2861556465888","0.026611328125","0.0380859375","0.01513671875","2400","0.00019280205092237572","32","0.00019280205092237572","0","0.00019280205092237572","0.00019280205092237572","24:0.001342379850353903;33:0.0032839425491354157;35:0.0018113458556904272;44:0.0039024504203497012","24:128;33:128;35:68;44:128","0.026611328125","Yes"
"35","265.325045630088","222.77825007382125","0.01123046875","0.01416015625","0.00830078125","2400","0.00017885300733603256","32","0.00017885300733603256","0","0.00017885300733603256","0.00017885300733603256","25:0.004827620035953412;36:0.0017462413293376777;45:0.0034248803102172876;34:0.0018113458556904272","25:208;36:108;45:148;34:68","0.01123046875","Yes"
"36","203.78955679730387","170.92797032059735","0.029052734375","0.02294921875","0.03515625","2400","0.00017184565240135107","32","0.00017184565240135107","0","0.00017184565240135107","0.00017184565240135107","46:0.0021387346387374273;26:0.0032101006313955127;35:0.0017462413293376777;37:0.001348438364264376","46:148;26:268;35:108;37:88","0.029052734375","Yes"
"37","438.0688446082854","254.08124174662274","0.020751953125","0.01904296875","0.0224609375","2400","0.00021970201976394263","32","0.00021970201976394263","0","0.00021970201976394263","0.00021970201976394263","27:0.0020320196578493543;36:0.001348438364264376;38:0.0017537116616519188;47:0.01027684030172421","27:108;36:88;38:148;47:148","0.020751953125","Yes"
"38","413.7792926810218","216.5574773843415","0.020751953125","0.02587890625","0.015625","2400","0.00005657889230992492","32","0.00005657889230992492","0","0.00005657889230992492","0.00005657889230992492","39:0.0015478144746353117;48:0.11659254895868014;28:0.003566308024949394;37:0.0017537116616519188","39:168;48:188;28:228;37:148","0.020751953125","Yes"
"39","311.4200574080446","332.08678999330476","0.014404296875","0.013671875","0.01513671875","2400","0.00011863740952937039","32","0.00011863740952937039","0","0.00011863740952937039","0.00011863740952937039","38:0.0015478144746353117;29:0.0019490318356600866;49:0.0014797782734115306","38:168;29:128;49:208","0.014404296875","Yes"
"40","399.5707055724893","269.8603102054878","0.024658203125","0.02099609375","0.0283203125","2400","0.0001231349864993219","32","0.0001231349864993219","0","0.0001231349864993219","0.0001231349864993219","41:0.002374116570171364;50:0.0017859634927750168;30:0.0020252410816537503","41:128;50:128;30:128","0.024658203125","Yes"
"41","441.2996063650537","239.2982321393576","0.00927734375","0.013671875","0.0048828125","2400","0.0002577188802198397","32","0.0002577188802198397","0","0.0002577188802198397","0.0002577188802198397","40:0.002374116570171364;42:0.002109196558218812;51:0.0025941649790750254;31:0.0026200261665262903","40:128;42:128;51:128;31:128","0.00927734375","Yes"
"42","344.7095028357413","267.3903821333561","0.010498046875","0.0146484375","0.00634765625","2400","0.00022750159737004705","32","0.00022750159737004705","0","0.00022750159737004705","0.00022750159737004705","41:0.002109196558218812;43:0.002508245999062797;52:0.0028516776031632385;32:0.003556759215345623","41:128;43:128;52:128;32:188","0.010498046875","Yes"
"43","364.8199076265122","303.55423381954716","0.012451171875","0.0126953125","0.01220703125","2400","0.00010011020218189714","32","0.00010011020218189714","0","0.00010011020218189714","0.00010011020218189714","42:0.002508245999062797;44:0.004522832820531619;33:0.0022695750354024546;53:0.001841402320679475","42:128;44:188;33:248;53:128","0.012451171875","Yes"
"44","355.89067936536384","220.84264906565545","0.010009765625","0.0126953125","0.00732421875","2400","0.0002073102823065921","32","0.0002073102823065921","0","0.0002073102823065921","0.0002073102823065921","45:0.016096224734302084;54:0.005091965195427178;43:0.004522832820531619;34:0.0039024504203497012","45:508;54:128;43:188;34:128","0.010009765625","Yes"
"45","424.9512724954334","204.09860349309446","0.030029296875","0.04052734375","0.01953125","2400","0.00021641690398522875","32","0.00021641690398522875","0","0.00021641690398522875","0.00021641690398522875","44:0.016096224734302084;46:0.0025565492481331997;55:0.0020987502926744783;35:0.0034248803102172876","44:508;46:128;55:128;35:148","0.030029296875","Yes"
"46","371.4303626266474","231.07854441043565","0.02880859375","0.0458984375","0.01171875","2400","0.0002094568029834808","32","0.0002094568029834808","0","0.0002094568029834808","0.0002094568029834808","36:0.0021387346387374273;45:0.0025565492481331997;47:0.0055165465796575;56:0.0037509035568143723","36:148;45:128;47:208;56:188","0.02880859375","Yes"
