"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"10","307.78488476899025","303.89449089299126","0.049072265625","0.0244140625","0.07373046875","1560","0.00011487877344702583","32","0.00011487877344702583","0","0.00011487877344702583","0.00011487877344702583","11:0.001248721247283896","9:68;11:68","9:0.0016580402583633302;11:0.001328425529172339","0.049072265625","Yes"
"11","143.03442945817423","159.84429261077693","0.013671875","0.01318359375","0.01416015625","1560","0.00019183644591358137","32","0.00019183644591358137","0","0.00019183644591358137","0.00019183644591358137","10:0.001248721247283896;12:0.003544986873974393","10:68;12:68","10:0.001328425529172339;12:0.002385193146765635","0.013671875","Yes"
"12","170.55406321870763","138.50826366182537","0.041015625","0.046875","0.03515625","1560","0.00014509490673477102","32","0.00014509490673477102","0","0.00014509490673477102","0.00014509490673477102","18:0.0014074561917430395;13:0.001599440852718681;11:0.003544986873974393","18:68;13:68;11:68","18:0.002264590784155057;13:0.0017458443843357263;11:0.002385193146765635","0.041015625","Yes"
"13","291.34227510742727","251.5157183581404","0.056884765625","0.04638671875","0.0673828125","1560","0.0003339157088161453","32","0.0003339157088161453","0","0.0003339157088161453","0.0003339157088161453","12:0.001599440852718681;14:0.002335253209039545","12:68;14:68","12:0.0017458443843357263;14:0.002639287338134122","0.056884765625","Yes"
"14","257.03694243205206","132.23866707282232","0.05224609375","0.037109375","0.0673828125","1560","0.000272297510733737","32","0.000272297510733737","0","0.000272297510733737","0.000272297510733737","13:0.002335253209039545","13:68","13:0.002639287338134122","0.05224609375","Yes"
"15","111.18095937489112","36.4190324460887","0.038818359375","0.0712890625","0.00634765625","1560","","32","","0","","","0:0.0023357983897290546;19:0.0035855323181370746","0:68;19:80","0:0.0020424892882485723;19:0.0033293259243187268","0.038818359375","Yes"
"16","153.32193968481187","138.890014450305","0.03076171875","0.017578125","0.0439453125","1560","0.00019694317707412158","32","0.00019694317707412158","0","0.00019694317707412158","0.00019694317707412158","23:0.012159586462350519;4:0.0017673018858865575","23:184;4:80","23:0.021485583807794056;4:0.0018357956728885239","0.03076171875","Yes"
"17","158.86611209811736","83.2337473331361","0.024169921875","0.0302734375","0.01806640625","1560","0.000449573240609772","32","0.000449573240609772","0","0.000449573240609772","0.000449573240609772","27:0.0028045669479543345;8:0.0026094470132228265","27:160;8:108","27:0.0030202169332032847;8:0.0021394761076014845","0.024169921875","Yes"
"18","240.42825866089092","182.68528196898282","0.019775390625","0.017578125","0.02197265625","1560","0.0001881397113180439","32","0.0001881397113180439","0","0.0001881397113180439","0.0001881397113180439","12:0.0014074561917430395;31:0.0016380322004146408","12:68;31:68","12:0.002264590784155057;31:0.001611293727352886","0.019775390625","Yes"
"19","140.17922609974178","111.82383827698621","0.074462890625","0.10009765625","0.048828125","1560","0.001090658796500565","32","0.001090658796500565","0","0.001090658796500565","0.001090658796500565","20:0.003909825934545419;15:0.0035855323181370746","20:108;15:80","20:0.0031543555938318424;15:0.0033293259243187268","0.074462890625","Yes"
