"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"10","180.8333827151694","128.71390506328933","0.00634765625","0.00927734375","0.002685546875","1560","0.00017023956666093373","24","0.00017023956666093373","0","0.00017023956666093373","0.00017023956666093373","9:68;11:68","9:0.0019975527413947647;11:0.013660367813379565","9:0.0022250417775256937;11:0.010065603996450262","0.00634765625","Yes"
"11","103.31897401884211","15.716702906419542","0.4163818359375","0.16259765625","0.670166015625","1560","0.0018885366100777497","24","0.0018885366100777497","0","0.0018885366100777497","0.0018885366100777497","18:68;10:68;12:68","18:0.013693217422537901;10:0.013660367813379565;12:0.009940603216342714","18:0.013587710357195415;10:0.010065603996450262;12:0.009651376095750785","0.4163818359375","Yes"
"12","64.6737576368277","71.64193718480684","0.0250244140625","0.03369140625","0.016357421875","1560","0.0004197698333907065","24","0.0004197698333907065","0","0.0004197698333907065","0.0004197698333907065","13:68;11:68","13:0.006707885637928235;11:0.009940603216342714","13:0.0027845795005000396;11:0.009651376095750785","0.0250244140625","Yes"
"13","286.66298575979266","158.55232043681852","0.0189208984375","0.018310546875","0.01953125","1560","0.00023650891347451317","24","0.00023650891347451317","0","0.00023650891347451317","0.00023650891347451317","12:68;14:68","12:0.006707885637928235;14:0.0018083333137844937","12:0.0027845795005000396;14:0.0019386438521034888","0.0189208984375","Yes"
"14","255.13315748288036","60.84052140220704","0.005615234375","0.006591796875","0.004638671875","1560","0.0002927844272513247","24","0.0002927844272513247","0","0.0002927844272513247","0.0002927844272513247","15:68;13:68","15:0.0020849212511070137;13:0.0018083333137844937","15:0.0024226159484122545;13:0.0019386438521034888","0.005615234375","Yes"
"15","310.4068931409371","192.97510421951173","0.0205078125","0.0263671875","0.0146484375","1560","0.0001433253750268198","24","0.0001433253750268198","0","0.0001433253750268198","0.0001433253750268198","14:68;19:68","14:0.0020849212511070137;19:0.0022922577864240845","14:0.0024226159484122545;19:0.002428831673882581","0.0205078125","Yes"
"16","195.75428491936842","141.19820851995772","0.006103515625","0.006591796875","0.005615234375","1560","0.0003491758708043383","24","0.0003491758708043383","0","0.0003491758708043383","0.0003491758708043383","23:68;3:68","23:0.002748955322152219;3:0.0036820163709254394","23:0.0025439309494594275;3:0.002690094018315936","0.006103515625","Yes"
"17","203.2235530876753","133.16406922696407","0.0167236328125","0.019287109375","0.01416015625","1560","0.00027514293035970516","24","0.00027514293035970516","0","0.00027514293035970516","0.00027514293035970516","7:68;27:68","7:0.00256610755825451;27:0.025960320299284967","7:0.003134607816446422;27:0.03237054550913443","0.0167236328125","Yes"
"18","100.2978621363879","62.86972290024649","0.009033203125","0.017333984375","0.000732421875","1560","0.0005375352865470228","24","0.0005375352865470228","0","0.0005375352865470228","0.0005375352865470228","11:68;31:68","11:0.013693217422537901;31:0.004601543514835854","11:0.013587710357195415;31:0.00369312268991126","0.009033203125","Yes"
"19","212.92528560553984","161.47165730205288","0.006103515625","0.008544921875","0.003662109375","1560","0.00025295348542790717","24","0.00025295348542790717","0","0.00025295348542790717","0.00025295348542790717","35:68;15:68","35:0.001796906944281501;15:0.0022922577864240845","35:0.0017354556913706798;15:0.002428831673882581","0.006103515625","Yes"
"20","161.66204941821042","156.98753818472352","0.010498046875","0.011962890625","0.009033203125","1560","0.0002108931219002221","24","0.0002108931219002221","0","0.0002108931219002221","0.0002108931219002221","21:68","21:0.003176468187723047","21:0.0034188832028604066","0.010498046875","Yes"
"21","256.5817954953074","208.63712364352367","0.0084228515625","0.015869140625","0.0009765625","1560","0.0002812147978723169","24","0.0002812147978723169","0","0.0002812147978723169","0.0002812147978723169","36:68;20:68;22:68","36:0.0068982007621140595;20:0.003176468187723047;22:0.0020531139560875933","36:0.005001511463495145;20:0.0034188832028604066;22:0.0017704886356676164","0.0084228515625","Yes"
